Label	Type	Frame	Begin	End	Mutation	Gene	Product	Score	OG_id	COGclassID	ClassDescription	COGprocess
ICUT1P7001_v1_170001	CDS	3	38439	38642	no		protein of unknown function	93.6	01MY3	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_170002	CDS	1	38674	38817	no		protein of unknown function	75.9	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_170003	CDS	2	38714	38869	no		protein of unknown function	85.5	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_170004	CDS	3	39024	39182	no		protein of unknown function	67	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_170005	CDS	3	39240	39455	no		protein of unknown function	89	0AC90	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_180001	CDS	1	39589	41478	no		Integral membrane protein	1194.9	07UKI	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_180004	CDS	-2	42315	42533	no		putative YheV family metal-binding protein	156.8	06CHK	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_200003	CDS	3	45900	46952	no		Plasmid mobilization protein	365.2	123RM	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_200005	CDS	3	47490	48434	no		RepB family plasmid replication initiator protein	588.6	08PXA	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_200008	CDS	3	49239	49571	no		protein of unknown function	139.4	05YMR	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_200009	CDS	2	49796	50083	no		Membrane protein	197.2	05VU6	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_200010	CDS	3	50070	50384	no		"Toxin-antitoxin system, antitoxin component"	209.5	COG3514	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_200011	CDS	2	50837	51280	no		conserved protein of unknown function	116.7	05GHP	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_210003	CDS	1	57070	57243	no		protein of unknown function	79.7	0B029	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_210006	CDS	2	58028	58285	no		protein of unknown function	94.7	0AAD3	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_220002	CDS	-3	58685	59665	no		Plasmid mobilization protein	266.5	123RM	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_230001	CDS	-3	60005	60553	no		Site-specific DNA-methyltransferase (adenine-specific)	141	08RR7	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_230003	CDS	1	60973	61539	no		protein of unknown function	356.7	05C0P	O	"Posttranslational modification, protein turnover, chaperones"	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_230004	CDS	-2	61611	62381	no		conserved exported protein of unknown function	511.1	062NN	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_230005	CDS	-1	62728	63174	no		protein of unknown function	92.8	05SQ4	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_240001	CDS	1	63496	64383	no		protein of unknown function	570.5	05E5H	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_250001	CDS	3	64662	64904	no		protein of unknown function	164.1	090WH	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_250002	CDS	2	64976	65737	no		conserved protein of unknown function	353.6	07S2I	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_250003	CDS	3	66468	68390	no		DEAD/DEAH box helicase	1219.1	05C1J	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_250005	CDS	3	68793	69611	no	mlaF	"intermembrane phospholipid transport system, ATP binding subunit MlaF"	526.2	05DHJ	Q	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
ICUT1P7001_v1_250006	CDS	2	69608	70387	no	mlaE	"intermembrane phospholipid transport system, integral membrane subunit MlaE"	472.6	05CY3	Q	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
ICUT1P7001_v1_250007	CDS	1	70387	71061	no	mlaD	MCE family protein	415.6	05J1B	Q	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
ICUT1P7001_v1_250008	CDS	3	71082	71258	no		exported protein of unknown function	107.1	05E3I	Q	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
ICUT1P7001_v1_270002	CDS	3	74037	75428	no		protein of unknown function	358.2	05J0E	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_270004	CDS	3	75714	76901	no		conserved protein of unknown function	449.9	07E9N	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_280002	CDS	1	78340	79980	no		protein of unknown function	95.9	05R3T	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_280003	CDS	2	79985	83185	no		Phage integrase family protein	103.6	060EC	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_280006	CDS	1	85060	85791	no	phnC	phosphonate ABC transporter ATP binding subunit	334.3	05D5T	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_280007	CDS	2	85859	86719	no	ptxB	putative phosphite transport system-binding protein PtxB	458.8	06ZX3	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_280008	CDS	2	86738	87535	no	ptxC	Phosphite transport system permease protein PtxC	434.5	05S7S	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_280009	CDS	1	87565	88572	no	ptxD	Phosphonate dehydrogenase	495.7	05C5I	C	Energy production and conversion	METABOLISM
ICUT1P7001_v1_280010	CDS	3	88569	89426	no		Transcriptional regulator	285	08U3H	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_280012	CDS	-1	89920	90774	no		Integrase core domain protein	501.9	05DQ6	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_280013	CDS	-2	90786	91085	no		transposase	171	08IRV	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_280015	CDS	-2	91542	92648	no		ImmA/IrrE family metallo-endopeptidase	295.8	06EI2	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_280018	CDS	2	94229	94942	no	traN	TraN	295.4	08C66	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_280020	CDS	2	95336	96535	no	int	Integrase	830.1	COG0582	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_280021	CDS	2	96569	96790	no		conserved protein of unknown function	122.1	05QSZ	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_280022	CDS	2	97082	98026	no		transposase	528.9	05F9F	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_290001	CDS	1	98623	98754	no		protein of unknown function	78.6	0B48Y	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_290003	CDS	2	98954	99268	no		protein of unknown function	198.7	0Y65V	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_290005	CDS	1	99382	99552	no		protein of unknown function	77.8	0AZ3N	G	Carbohydrate transport and metabolism	METABOLISM
ICUT1P7001_v1_310001	CDS	-3	101198	102607	no		Short chain fatty acids transporter	877.5	05CRW	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310002	CDS	-3	102746	103375	no	atoA	acetyl-CoA:acetoacetyl-CoA transferase subunit beta	375.2	07QNJ	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310003	CDS	-3	103379	104083	no	atoD	acetyl-CoA:acetoacetyl-CoA transferase subunit alpha	453.4	07QP7	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310004	CDS	-1	104110	105012	no	mvaB	Hydroxymethylglutaryl-CoA lyase	598.6	05CBH	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310005	CDS	-2	105009	107000	no	pccA	Propionyl-CoA carboxylase alpha chain	1291.6	08JIK	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310006	CDS	-3	107021	107815	no		Enoyl-CoA hydratase	496.9	COG1024	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310007	CDS	-2	107826	109427	no		Methylcrotonyl-CoA carboxylase carboxyl transferase subunit	1056.2	07QX3	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310008	CDS	-2	109464	110636	no	mmgC	Acyl-CoA dehydrogenase	789.3	05C1G	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310009	CDS	1	110785	111411	no		TetR family transcriptional regulator	392.9	08VGR	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_310010	CDS	2	111512	113200	no	yngI	Putative acyl-CoA synthetase YngI	1135.6	05CEY	I	Lipid transport and metabolism	METABOLISM
ICUT1P7001_v1_310010	CDS	2	111512	113200	no	yngI	Putative acyl-CoA synthetase YngI	1135.6	05CEY	Q	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
ICUT1P7001_v1_310011	fCDS	3	113250	113699	pseudo	bioB	fragment of biotin synthase (part 1)	297	05CZF	H	Coenzyme transport and metabolism	METABOLISM
ICUT1P7001_v1_310012	fCDS	1	113680	114240	pseudo	bioB	fragment of biotin synthase (part 2)	345.1	05CZF	H	Coenzyme transport and metabolism	METABOLISM
ICUT1P7001_v1_310013	CDS	2	114311	115837	no		putative enzyme	550.8	08TFK	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_320004	CDS	2	117923	118519	no	fic	putative adenosine monophosphate--protein transferase Fic	422.2	05MZU	D	"Cell cycle control, cell division, chromosome partitioning"	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_320005	CDS	3	118869	119126	no		conserved protein of unknown function	83.6	05CQ3	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_320006	CDS	2	120047	120352	no		XRE family transcriptional regulator	190.7	08JFQ	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_320007	CDS	1	120352	121617	no		Toxin HipA	864.4	05EHA	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_320008	CDS	-1	122188	122508	no		protein of unknown function	209.5	05FJ9	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_330001	CDS	3	122679	122852	no		protein of unknown function	124.4	05H88	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_330003	CDS	-2	123888	124319	no		Stringent starvation protein B	289.7	05KB2	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_330004	CDS	-3	124328	124981	no		Stringent starvation protein A	443.4	07MKT	O	"Posttranslational modification, protein turnover, chaperones"	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_340002	CDS	3	125982	126251	no		protein of unknown function	117.5	0B1NV	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_340003	CDS	1	126208	126456	no		protein of unknown function	167.2	0Y65V	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_340004	CDS	1	126484	126639	no		protein of unknown function	108.2	0Y3WU	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_350001	CDS	-1	126736	126867	no		transposase	87.8	05IDF	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_350002	CDS	2	126986	128038	no		GGDEF domain-containing protein	447.2	05BZU	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_350004	CDS	3	128250	128603	no		conserved protein of unknown function	215.7	6434	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_350005	CDS	-1	128668	129261	no		NAD(P)H dehydrogenase (quinone)	386.3	05CS1	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_350006	CDS	2	129377	130627	no		Ribonuclease BN	798.1	07S2Z	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_350007	CDS	-3	130721	131656	no		Permease of the drug/metabolite transporter (DMT) superfamily	558.1	05F1W	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_350007	CDS	-3	130721	131656	no		Permease of the drug/metabolite transporter (DMT) superfamily	558.1	05F1W	G	Carbohydrate transport and metabolism	METABOLISM
ICUT1P7001_v1_350008	CDS	1	131761	132573	no		AraC family transcriptional regulator	390.2	07EJP	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_350009	CDS	-2	132627	133271	no		Fumarylacetoacetate hydrolase family protein	441	05FBJ	Q	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
ICUT1P7001_v1_360001	CDS	3	135363	136697	no		transposase	672.9	05FJ9	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_360003	CDS	-2	137577	137891	no		Transcriptional regulator	85.5	05W08	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_360004	CDS	-1	137872	138204	no	higB	Toxin HigB-2	112.8	05W2W	D	"Cell cycle control, cell division, chromosome partitioning"	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_360004	CDS	-1	137872	138204	no	higB	Toxin HigB-2	112.8	05W2W	J	"Translation, ribosomal structure and biogenesis"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_360005	CDS	3	138339	138644	no		conserved protein of unknown function	200.3	06I34	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_360006	CDS	2	138824	139942	no		Fic family protein	674.5	07RVY	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_360007	CDS	-3	140576	140737	no		protein of unknown function	90.9	05M2N	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_360008	CDS	-2	140730	140864	no		protein of unknown function	90.5	05W2W	D	"Cell cycle control, cell division, chromosome partitioning"	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_360008	CDS	-2	140730	140864	no		protein of unknown function	90.5	05W2W	J	"Translation, ribosomal structure and biogenesis"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_360009	CDS	-3	140861	141118	no		protein of unknown function	92.8	08BUD	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_370001	CDS	-3	141236	143092	no		glutamate synthase subunit GltB (fragment)	1173.7	04S6A	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_380001	CDS	-3	143495	143779	no		transposase	184.9	COG2963	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_380002	CDS	-1	143821	145320	no	yqiK	protein YqiK	841.6	07S78	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_380003	CDS	-1	145366	146010	no		Membrane protein	410.2	05PV3	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_380004	CDS	-1	146470	147483	no	trpS	Tryptophan--tRNA ligase	674.5	05C31	J	"Translation, ribosomal structure and biogenesis"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_380005	CDS	3	147681	148607	no	yedI	conserved inner membrane protein YedI	548.9	05CKW	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_380006	CDS	2	148649	149554	no		Metallopeptidase	606.3	05CGZ	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_380008	CDS	2	150389	151888	no		Sodium:proton antiporter	960.3	COG0025	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_380009	CDS	2	152003	152326	no		Methylated-DNA--protein-cysteine methyltransferase	207.2	080UX	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_380010	CDS	-2	152370	152810	no		Universal stress protein	270.4	05P9R	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_380011	CDS	3	153084	153875	no		protein of unknown function	488.8	08Y1E	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_390001	CDS	1	154153	154989	no	sadH	Putative oxidoreductase SadH	549.3	07GJV	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_390002	CDS	2	155120	156028	no	czcD	Metal cation efflux system protein CzcD	566.6	05PGM	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_390004	CDS	2	156560	157882	no		"Heavy metal RND efflux outer membrane protein, CzcC family"	795.4	05YGM	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
ICUT1P7001_v1_390005	CDS	3	157884	159119	no		"Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family"	754.6	05EDC	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_390006	CDS	1	159109	162255	no	czcA	Cation efflux system protein CzcA	1962.2	08IJF	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_390007	CDS	-2	162696	164789	no		TonB-dependent siderophore receptor	1013.8	05E0K	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_390008	CDS	3	165192	167348	no		Ferrichrome-iron receptor	1357.8	05CB4	P	Inorganic ion transport and metabolism	METABOLISM
ICUT1P7001_v1_390009	CDS	2	167624	168331	no		SDR family NAD(P)-dependent oxidoreductase	428.7	08RU0	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_390010	CDS	2	168662	169720	no	ansB	Glutaminase-asparaginase	672.9	05HDK	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_390011	CDS	-2	169839	170570	no		conserved protein of unknown function	426	08PIV	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_390012	CDS	1	170785	172116	no		Type II toxin-antitoxin system HipA family toxin	748.4	06QMI	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_390013	CDS	3	172113	172424	no		XRE family transcriptional regulator	158.7	05ZX8	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_390014	CDS	-3	172625	173716	no		Transcriptional regulator	473.8	07RR1	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_390015	CDS	-1	173950	174924	no	lipA	lipoyl synthase	568.2	0VFQ7	H	Coenzyme transport and metabolism	METABOLISM
ICUT1P7001_v1_390016	CDS	1	175267	176229	no	acoA	"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha"	610.9	07R0V	C	Energy production and conversion	METABOLISM
ICUT1P7001_v1_390017	CDS	1	176245	177264	no	acoB	"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta"	651.4	05CPP	C	Energy production and conversion	METABOLISM
ICUT1P7001_v1_390018	CDS	2	177266	178801	no		Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex	718	05C7S	C	Energy production and conversion	METABOLISM
ICUT1P7001_v1_390019	CDS	1	178813	180213	no	lpd	Dihydrolipoyl dehydrogenase	726.9	07QN2	C	Energy production and conversion	METABOLISM
ICUT1P7001_v1_390020	CDS	3	180225	181010	no	budC	"L-2,3-butanediol dehydrogenase"	423.3	05CHR	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_390021	CDS	3	181032	181805	no		"2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific"	517.7	05CPQ	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_400002	CDS	-1	182050	182490	no		protein of unknown function	286.6	0B1NV	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_400003	CDS	-1	182536	183009	no		protein of unknown function	300.8	0B48Y	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_410001	CDS	-2	183318	184388	no	nadA	quinolinate synthase	704.5	05D0I	H	Coenzyme transport and metabolism	METABOLISM
ICUT1P7001_v1_410002	CDS	-1	184531	185751	no	argJ	Glutamate N-acetyltransferase / Amino-acid acetyltransferase	783.1	05C5V	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_410004	CDS	-3	186035	186415	no		transposase	80.5	05ZX1	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_410005	CDS	-2	186417	188666	no		Site-specific recombinase XerD	383.3	08M8G	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_410006	CDS	-3	188663	189181	no		protein of unknown function	213	08FPN	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_410007	CDS	3	189240	189545	no		conserved protein of unknown function	184.9	05MP0	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_420001	CDS	2	189665	190183	no		protein of unknown function	347.4	0Y3WU	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_420002	CDS	1	190180	190341	no		protein of unknown function	75.5	0AZ3N	G	Carbohydrate transport and metabolism	METABOLISM
ICUT1P7001_v1_430001	CDS	-1	190762	190935	no		protein of unknown function	84.3	0B029	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_430002	CDS	-3	190877	191047	no		protein of unknown function	95.5	0B48Y	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_430003	CDS	-2	191097	191354	no		protein of unknown function	118.6	0B48Y	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_430004	CDS	-2	191406	191531	no		protein of unknown function	82.4	0B029	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_460001	CDS	1	195469	196914	no	yhdG	Ethanolamine permease	911	07R55	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_460002	CDS	2	196928	198313	no	eutB	ethanolamine ammonia-lyase subunit alpha	924.9	05CPD	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_460003	CDS	3	198324	199139	no	eutC	Ethanolamine ammonia-lyase light chain	547	07FQ9	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_460004	CDS	-3	199205	199801	no		2-hydroxychromene-2-carboxylate isomerase	398.3	08URA	Q	"Secondary metabolites biosynthesis, transport and catabolism"	METABOLISM
ICUT1P7001_v1_460005	CDS	-1	199813	200580	no		SDR family oxidoreductase	494.2	08KX3	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_460006	CDS	2	200675	201238	no		TetR/AcrR family transcriptional regulator	372.1	06VD6	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_460007	CDS	1	201355	202056	no		Glutamine amidotransferase	476.1	089BK	F	Nucleotide transport and metabolism	METABOLISM
ICUT1P7001_v1_470001	CDS	-2	202725	203105	no		protein of unknown function	246.1	05YCW	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_470002	CDS	-1	203149	203547	no		HTH_Tnp_4 domain-containing protein	261.9	0907Q	S	Function unknown	POORLY CHARACTERIZED
ICUT1P7001_v1_470004	CDS	1	204517	204816	no		conserved protein of unknown function	184.5	08IRV	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_470005	CDS	3	204828	205454	no		protein of unknown function	420.2	05DQ6	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_480001	CDS	3	205563	206762	no	rarA	recombination factor	778.5	05D1H	L	"Replication, recombination and repair"	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_480002	CDS	-1	206860	207480	no	eamB	Cysteine/O-acetylserine efflux protein	370.5	08VP3	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_480003	CDS	3	207576	208034	no		"Transcriptional regulator, AsnC family"	183	01X90	K	Transcription	INFORMATION STORAGE AND PROCESSING
ICUT1P7001_v1_480004	CDS	-3	208193	208969	no	hisP	"lysine/arginine/ornithine ABC transporter/histidine ABC transporter, ATP binding subunit"	500.4	08JEH	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_480005	CDS	-1	208978	209691	no	hisM	"lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisM"	468	06YG3	E	Amino acid transport and metabolism	METABOLISM
ICUT1P7001_v1_480006	CDS	-2	209688	210377	no	hisQ	"lysine/arginine/ornithine ABC transporter/histidine ABC transporter, membrane subunit HisQ"	423.3	05DSP	E	Amino acid transport and metabolism	METABOLISM
