COGs IDS	COG_Ids	func	name
COG0046	COG0046	F	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain
COG0048	COG0048	J	Ribosomal protein S12
COG0049	COG0049	J	Ribosomal protein S7
COG0050	COG0050	J	Translation elongation factor EF-Tu, a GTPase
COG0051	COG0051	J	Ribosomal protein S10
COG0052	COG0052	J	Ribosomal protein S2
COG0053	COG0053	P	Divalent metal cation (Fe/Co/Zn/Cd) transporter
COG0054	COG0054	H	6,7-dimethyl-8-ribityllumazine synthase (Riboflavin synthase beta chain)
COG0055	COG0055	C	FoF1-type ATP synthase, beta subunit
COG0056	COG0056	C	FoF1-type ATP synthase, alpha subunit
COG0057	COG0057	G	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase
COG0058	COG0058	G	Glucan phosphorylase
COG0059	COG0059	E	Ketol-acid reductoisomerase
COG0060	COG0060	J	Isoleucyl-tRNA synthetase
COG0061	COG0061	F	NAD kinase
COG0062	COG0062	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase domain
COG0063	COG0063	F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate dehydratase domain
COG0064	COG0064	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit
COG0065	COG0065	E	Homoaconitase/3-isopropylmalate dehydratase large subunit
COG0066	COG0066	E	3-isopropylmalate dehydratase small subunit
COG0067	COG0067	E	Glutamate synthase domain 1
COG0068	COG0068	O	Hydrogenase maturation factor HypF (carbamoyltransferase)
COG0069	COG0069	E	Glutamate synthase domain 2
COG0070	COG0070	E	Glutamate synthase domain 3
COG0071	COG0071	O	Molecular chaperone IbpA, HSP20 family
COG0072	COG0072	J	Phenylalanyl-tRNA synthetase beta subunit
COG0073	COG0073	J	tRNA-binding EMAP/Myf domain
COG0074	COG0074	C	Succinyl-CoA synthetase, alpha subunit
COG0075	COG0075	E	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG
COG0076	COG0076	E	Glutamate or tyrosine decarboxylase or a related PLP-dependent protein
COG0077	COG0077	E	Prephenate dehydratase
COG0078	COG0078	E	Ornithine carbamoyltransferase
COG0079	COG0079	E	Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase
COG0080	COG0080	J	Ribosomal protein L11
COG0081	COG0081	J	Ribosomal protein L1
COG0082	COG0082	E	Chorismate synthase
COG0083	COG0083	E	Homoserine kinase
COG0084	COG0084	N	Tat protein secretion system quality control protein TatD (DNase activity)
COG0085	COG0085	K	DNA-directed RNA polymerase, beta subunit/140 kD subunit
COG0086	COG0086	K	DNA-directed RNA polymerase, beta' subunit/160 kD subunit
COG0087	COG0087	J	Ribosomal protein L3
COG0088	COG0088	J	Ribosomal protein L4
COG0089	COG0089	J	Ribosomal protein L23
COG0090	COG0090	J	Ribosomal protein L2
COG0091	COG0091	J	Ribosomal protein L22
COG0092	COG0092	J	Ribosomal protein S3
COG0093	COG0093	J	Ribosomal protein L14
COG0094	COG0094	J	Ribosomal protein L5
COG0095	COG0095	H	Lipoate-protein ligase A
COG0096	COG0096	J	Ribosomal protein S8
COG0097	COG0097	J	Ribosomal protein L6P/L9E
COG0098	COG0098	J	Ribosomal protein S5
COG0099	COG0099	J	Ribosomal protein S13
COG0100	COG0100	J	Ribosomal protein S11
COG0101	COG0101	J	tRNA U38,U39,U40 pseudouridine synthase TruA
COG0102	COG0102	J	Ribosomal protein L13
COG0103	COG0103	J	Ribosomal protein S9
COG0104	COG0104	F	Adenylosuccinate synthase
COG0105	COG0105	F	Nucleoside diphosphate kinase
COG0106	COG0106	E	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase
COG0107	COG0107	E	Imidazole glycerol phosphate synthase subunit HisF
COG0108	COG0108	H	3,4-dihydroxy-2-butanone 4-phosphate synthase
COG0109	COG0109	H	Polyprenyltransferase (heme O synthase)
COG0110	COG0110	R	Acetyltransferase (isoleucine patch superfamily)
COG0111	COG0111	H	Phosphoglycerate dehydrogenase or related dehydrogenase
COG0112	COG0112	E	Glycine/serine hydroxymethyltransferase
COG0113	COG0113	H	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase
COG0114	COG0114	C	Fumarate hydratase class II
COG0115	COG0115	E	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
COG0116	COG0116	J	23S rRNA G2445 N2-methylase RlmL
COG0117	COG0117	H	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD
COG0118	COG0118	E	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH
COG0119	COG0119	E	Isopropylmalate/homocitrate/citramalate synthases
COG0120	COG0120	G	Ribose 5-phosphate isomerase
COG0121	COG0121	R	Predicted glutamine amidotransferase
COG0122	COG0122	L	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase
COG0123	COG0123	B	Acetoin utilization deacetylase AcuC or a related deacetylase
COG0124	COG0124	J	Histidyl-tRNA synthetase
COG0125	COG0125	F	Thymidylate kinase
COG0126	COG0126	G	3-phosphoglycerate kinase
COG0127	COG0127	F	Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family
COG0128	COG0128	E	5-enolpyruvylshikimate-3-phosphate synthase
COG0129	COG0129	E	Dihydroxyacid dehydratase/phosphogluconate dehydratase
COG0130	COG0130	J	tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA
COG0131	COG0131	E	Imidazoleglycerol phosphate dehydratase HisB
COG0132	COG0132	H	Dethiobiotin synthetase
COG0133	COG0133	E	Tryptophan synthase beta chain
COG0134	COG0134	E	Indole-3-glycerol phosphate synthase
COG0135	COG0135	E	Phosphoribosylanthranilate isomerase
COG0136	COG0136	E	Aspartate-semialdehyde dehydrogenase
COG0137	COG0137	E	Argininosuccinate synthase
COG0138	COG0138	F	AICAR transformylase/IMP cyclohydrolase PurH
COG0139	COG0139	E	Phosphoribosyl-AMP cyclohydrolase
COG0140	COG0140	E	Phosphoribosyl-ATP pyrophosphohydrolase
COG0141	COG0141	E	Histidinol dehydrogenase
COG0142	COG0142	H	Geranylgeranyl pyrophosphate synthase
COG0143	COG0143	J	Methionyl-tRNA synthetase
COG0144	COG0144	J	16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family
COG0145	COG0145	E	N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit
COG0147	COG0147	E	Anthranilate/para-aminobenzoate synthases component I
COG0148	COG0148	G	Enolase
COG0149	COG0149	G	Triosephosphate isomerase
COG0150	COG0150	F	Phosphoribosylaminoimidazole (AIR) synthetase
COG0151	COG0151	F	Phosphoribosylamine-glycine ligase
COG0152	COG0152	F	Phosphoribosylaminoimidazole-succinocarboxamide synthase
COG0153	COG0153	G	Galactokinase
COG0154	COG0154	J	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase
COG0155	COG0155	P	Sulfite reductase, beta subunit (hemoprotein)
COG0156	COG0156	H	7-keto-8-aminopelargonate synthetase or related enzyme
COG0157	COG0157	H	Nicotinate-nucleotide pyrophosphorylase
COG0158	COG0158	G	Fructose-1,6-bisphosphatase
COG0159	COG0159	E	Tryptophan synthase alpha chain
COG0160	COG0160	E	4-aminobutyrate aminotransferase or related aminotransferase
COG0161	COG0161	H	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
COG0162	COG0162	J	Tyrosyl-tRNA synthetase
COG0163	COG0163	H	3-polyprenyl-4-hydroxybenzoate decarboxylase
COG0164	COG0164	L	Ribonuclease HII
COG0165	COG0165	E	Argininosuccinate lyase
COG0166	COG0166	G	Glucose-6-phosphate isomerase
COG0167	COG0167	F	Dihydroorotate dehydrogenase
COG0168	COG0168	P	Trk-type K+ transport system, membrane component
COG0169	COG0169	E	Shikimate 5-dehydrogenase
COG0171	COG0171	H	NH3-dependent NAD+ synthetase
COG0172	COG0172	J	Seryl-tRNA synthetase
COG0173	COG0173	J	Aspartyl-tRNA synthetase
COG0174	COG0174	E	Glutamine synthetase
COG0175	COG0175	E	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme
COG0176	COG0176	G	Transaldolase
COG0177	COG0177	L	Endonuclease III
COG0178	COG0178	L	Excinuclease UvrABC ATPase subunit
COG0179	COG0179	Q	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)
COG0180	COG0180	J	Tryptophanyl-tRNA synthetase
COG0181	COG0181	H	Porphobilinogen deaminase
COG0182	COG0182	E	Methylthioribose-1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit
COG0183	COG0183	I	Acetyl-CoA acetyltransferase
COG0184	COG0184	J	Ribosomal protein S15P/S13E
COG0185	COG0185	J	Ribosomal protein S19
COG0186	COG0186	J	Ribosomal protein S17
COG0187	COG0187	L	DNA gyrase/topoisomerase IV, subunit B
COG0188	COG0188	L	DNA gyrase/topoisomerase IV, subunit A
COG0189	COG0189	H	Glutathione synthase/RimK-type ligase, ATP-grasp superfamily
COG0190	COG0190	H	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase
COG0191	COG0191	G	Fructose/tagatose bisphosphate aldolase
COG0192	COG0192	H	S-adenosylmethionine synthetase
COG0193	COG0193	J	Peptidyl-tRNA hydrolase
COG0194	COG0194	F	Guanylate kinase
COG0195	COG0195	K	Transcription antitermination factor NusA, contains S1 and KH domains
COG0196	COG0196	H	FAD synthase
COG0197	COG0197	J	Ribosomal protein L16/L10AE
COG0198	COG0198	J	Ribosomal protein L24
COG0199	COG0199	J	Ribosomal protein S14
COG0200	COG0200	J	Ribosomal protein L15
COG0201	COG0201	U	Preprotein translocase subunit SecY
COG0202	COG0202	K	DNA-directed RNA polymerase, alpha subunit/40 kD subunit
COG0203	COG0203	J	Ribosomal protein L17
COG0204	COG0204	I	1-acyl-sn-glycerol-3-phosphate acyltransferase
COG0205	COG0205	G	6-phosphofructokinase
COG0206	COG0206	D	Cell division GTPase FtsZ
COG0207	COG0207	F	Thymidylate synthase
COG0208	COG0208	F	Ribonucleotide reductase beta subunit, ferritin-like domain
COG0209	COG0209	F	Ribonucleotide reductase alpha subunit
COG0210	COG0210	L	Superfamily I DNA or RNA helicase
COG0211	COG0211	J	Ribosomal protein L27
COG0212	COG0212	H	5-formyltetrahydrofolate cyclo-ligase
COG0213	COG0213	F	Thymidine phosphorylase
COG0214	COG0214	H	Pyridoxal biosynthesis lyase PdxS
COG0215	COG0215	J	Cysteinyl-tRNA synthetase
COG0216	COG0216	J	Protein chain release factor A
COG0217	COG0217	K	Transcriptional and/or translational regulatory protein YebC/TACO1
COG0218	COG0218	D	GTP-binding protein EngB required for normal cell division
COG0219	COG0219	J	tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain
COG0220	COG0220	J	tRNA G46 methylase TrmB
COG0221	COG0221	C	Inorganic pyrophosphatase
COG0222	COG0222	J	Ribosomal protein L7/L12
COG0223	COG0223	J	Methionyl-tRNA formyltransferase
COG0224	COG0224	C	FoF1-type ATP synthase, gamma subunit
COG0225	COG0225	O	Peptide methionine sulfoxide reductase MsrA
COG0226	COG0226	P	ABC-type phosphate transport system, periplasmic component
COG0227	COG0227	J	Ribosomal protein L28
COG0228	COG0228	J	Ribosomal protein S16
COG0229	COG0229	O	Peptide methionine sulfoxide reductase MsrB
COG0230	COG0230	J	Ribosomal protein L34
COG0231	COG0231	J	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)
COG0232	COG0232	F	dGTP triphosphohydrolase
COG0233	COG0233	J	Ribosome recycling factor
COG0234	COG0234	O	Co-chaperonin GroES (HSP10)
COG0235	COG0235	G	Ribulose-5-phosphate 4-epimerase/Fuculose-1-phosphate aldolase
COG0236	COG0236	I	Acyl carrier protein
COG0237	COG0237	H	Dephospho-CoA kinase
COG0238	COG0238	J	Ribosomal protein S18
COG0239	COG0239	D	Fluoride ion exporter CrcB/FEX, affects chromosome condensation
COG0240	COG0240	C	Glycerol-3-phosphate dehydrogenase
COG0241	COG0241	E	Histidinol phosphatase or a related phosphatase
COG0242	COG0242	J	Peptide deformylase
COG0243	COG0243	C	Anaerobic selenocysteine-containing dehydrogenase
COG0244	COG0244	J	Ribosomal protein L10
COG0245	COG0245	I	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
COG0246	COG0246	G	Mannitol-1-phosphate/altronate dehydrogenases
COG0247	COG0247	C	Fe-S oxidoreductase
COG0248	COG0248	F	Exopolyphosphatase/pppGpp-phosphohydrolase
COG0249	COG0249	L	DNA mismatch repair ATPase MutS
COG0250	COG0250	K	Transcription antitermination factor NusG
COG0251	COG0251	V	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family
COG0252	COG0252	J	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
COG0253	COG0253	E	Diaminopimelate epimerase
COG0254	COG0254	J	Ribosomal protein L31
COG0255	COG0255	J	Ribosomal protein L29
COG0256	COG0256	J	Ribosomal protein L18
COG0257	COG0257	J	Ribosomal protein L36
COG0258	COG0258	L	5'-3' exonuclease
COG0259	COG0259	H	Pyridoxine/pyridoxamine 5'-phosphate oxidase
COG0260	COG0260	E	Leucyl aminopeptidase
COG0261	COG0261	J	Ribosomal protein L21
COG0262	COG0262	H	Dihydrofolate reductase
COG0263	COG0263	E	Glutamate 5-kinase
COG0264	COG0264	J	Translation elongation factor EF-Ts
COG0265	COG0265	O	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain
COG0266	COG0266	L	Formamidopyrimidine-DNA glycosylase
COG0267	COG0267	J	Ribosomal protein L33
COG0268	COG0268	J	Ribosomal protein S20
COG0269	COG0269	G	3-keto-L-gulonate-6-phosphate decarboxylase
COG0270	COG0270	L	Site-specific DNA-cytosine methylase
COG0271	COG0271	T	Stress-induced morphogen (activity unknown)
COG0272	COG0272	L	NAD-dependent DNA ligase
COG0274	COG0274	F	Deoxyribose-phosphate aldolase
COG0275	COG0275	J	16S rRNA C1402 N4-methylase RsmH
COG0276	COG0276	H	Protoheme ferro-lyase (ferrochelatase)
COG0277	COG0277	C	FAD/FMN-containing dehydrogenase
COG0278	COG0278	O	Glutaredoxin-related protein
COG0279	COG0279	G	Phosphoheptose isomerase
COG0280	COG0280	C	Phosphotransacetylase
COG0281	COG0281	C	Malic enzyme
COG0282	COG0282	C	Acetate kinase
COG0283	COG0283	F	Cytidylate kinase
COG0284	COG0284	F	Orotidine-5'-phosphate decarboxylase
COG0285	COG0285	H	Folylpolyglutamate synthase/Dihydropteroate synthase
COG0286	COG0286	V	Type I restriction-modification system, DNA methylase subunit
COG0287	COG0287	E	Prephenate dehydrogenase
COG0288	COG0288	P	Carbonic anhydrase
COG0289	COG0289	E	Dihydrodipicolinate reductase
COG0290	COG0290	J	Translation initiation factor IF-3
COG0291	COG0291	J	Ribosomal protein L35
COG0292	COG0292	J	Ribosomal protein L20
COG0293	COG0293	J	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ
COG0294	COG0294	H	Dihydropteroate synthase
COG0295	COG0295	F	Cytidine deaminase
COG0296	COG0296	G	1,4-alpha-glucan branching enzyme
COG0297	COG0297	G	Glycogen synthase
COG0298	COG0298	O	Hydrogenase maturation factor
COG0299	COG0299	F	Folate-dependent phosphoribosylglycinamide formyltransferase PurN
COG0300	COG0300	R	Short-chain dehydrogenase
COG0301	COG0301	H	Adenylyl- and sulfurtransferase ThiI, participates in tRNA 4-thiouridine and thiamine biosynthesis
COG0302	COG0302	H	GTP cyclohydrolase I
COG0303	COG0303	H	Molybdopterin biosynthesis enzyme
COG0304	COG0304	I	3-oxoacyl-(acyl-carrier-protein) synthase
COG0305	COG0305	L	Replicative DNA helicase
COG0306	COG0306	P	Phosphate/sulfate permease
COG0307	COG0307	H	Riboflavin synthase alpha chain
COG0308	COG0308	E	Aminopeptidase N
COG0309	COG0309	O	Hydrogenase maturation factor
COG0310	COG0310	P	ABC-type Co2+ transport system, permease component
COG0311	COG0311	H	Glutamine amidotransferase PdxT (pyridoxal biosynthesis)
COG0312	COG0312	R	Predicted Zn-dependent protease or its inactivated homolog
COG0313	COG0313	J	16S rRNA C1402 (ribose-2'-O) methylase RsmI
COG0314	COG0314	H	Molybdopterin synthase catalytic subunit
COG0315	COG0315	H	Molybdenum cofactor biosynthesis enzyme
COG0316	COG0316	O	Fe-S cluster assembly iron-binding protein IscA
COG0317	COG0317	T	(p)ppGpp synthase/hydrolase, HD superfamily
COG0318	COG0318	I	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II
COG0319	COG0319	J	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme
COG0320	COG0320	H	Lipoate synthase
COG0321	COG0321	H	Lipoate-protein ligase B
COG0322	COG0322	L	Excinuclease UvrABC, nuclease subunit
COG0323	COG0323	L	DNA mismatch repair ATPase MutL
COG0324	COG0324	J	tRNA A37 N6-isopentenylltransferase MiaA
COG0325	COG0325	R	Uncharacterized pyridoxal phosphate-containing protein, affects Ilv metabolism, UPF0001 family
COG0326	COG0326	O	Molecular chaperone, HSP90 family
COG0327	COG0327	H	Putative GTP cyclohydrolase 1 type 2, NIF3 family
COG0328	COG0328	L	Ribonuclease HI
COG0329	COG0329	E	Dihydrodipicolinate synthase/N-acetylneuraminate lyase
COG0330	COG0330	O	Regulator of protease activity HflC, stomatin/prohibitin superfamily
COG0331	COG0331	I	Malonyl CoA-acyl carrier protein transacylase
COG0332	COG0332	I	3-oxoacyl-[acyl-carrier-protein] synthase III
COG0333	COG0333	J	Ribosomal protein L32
COG0334	COG0334	E	Glutamate dehydrogenase/leucine dehydrogenase
COG0335	COG0335	J	Ribosomal protein L19
COG0336	COG0336	J	tRNA G37 N-methylase TrmD
COG0337	COG0337	E	3-dehydroquinate synthetase
COG0338	COG0338	L	Site-specific DNA-adenine methylase
COG0339	COG0339	E	Zn-dependent oligopeptidase
COG0340	COG0340	H	Biotin-(acetyl-CoA carboxylase) ligase
COG0341	COG0341	U	Preprotein translocase subunit SecF
COG0342	COG0342	U	Preprotein translocase subunit SecD
COG0343	COG0343	J	Queuine/archaeosine tRNA-ribosyltransferase
COG0344	COG0344	I	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase
COG0345	COG0345	E	Pyrroline-5-carboxylate reductase
COG0346	COG0346	Q	Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme
COG0347	COG0347	T	Nitrogen regulatory protein PII
COG0348	COG0348	C	Polyferredoxin
COG0349	COG0349	J	Ribonuclease D
COG0350	COG0350	L	O6-methylguanine-DNA--protein-cysteine methyltransferase
COG0351	COG0351	H	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
COG0352	COG0352	H	Thiamine monophosphate synthase
COG0353	COG0353	L	Recombinational DNA repair protein RecR
COG0354	COG0354	O	Folate-binding Fe-S cluster repair protein YgfZ, possible role in tRNA modification
COG0355	COG0355	C	FoF1-type ATP synthase, epsilon subunit
COG0356	COG0356	C	FoF1-type ATP synthase, membrane subunit a
COG0357	COG0357	J	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)
COG0358	COG0358	L	DNA primase (bacterial type)
COG0359	COG0359	J	Ribosomal protein L9
COG0360	COG0360	J	Ribosomal protein S6
COG0361	COG0361	J	Translation initiation factor IF-1
COG0362	COG0362	G	6-phosphogluconate dehydrogenase
COG0363	COG0363	G	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
COG0364	COG0364	G	Glucose-6-phosphate 1-dehydrogenase
COG0365	COG0365	I	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
COG0366	COG0366	G	Glycosidase
COG0367	COG0367	E	Asparagine synthetase B (glutamine-hydrolyzing)
COG0368	COG0368	H	Cobalamin synthase
COG0369	COG0369	P	Sulfite reductase, alpha subunit (flavoprotein)
COG0370	COG0370	P	Fe2+ transport system protein B
COG0371	COG0371	C	Glycerol dehydrogenase or related enzyme, iron-containing ADH family
COG0372	COG0372	C	Citrate synthase
COG0373	COG0373	H	Glutamyl-tRNA reductase
COG0374	COG0374	C	Ni,Fe-hydrogenase I large subunit
COG0375	COG0375	R	Zn finger protein HypA/HybF (possibly regulating hydrogenase expression)
COG0376	COG0376	P	Catalase (peroxidase I)
COG0377	COG0377	C	NADH:ubiquinone oxidoreductase 20 kD subunit (chhain B) or related Fe-S oxidoreductase
COG0378	COG0378	O	Ni2+-binding GTPase involved in regulation of expression and maturation of urease and hydrogenase
COG0379	COG0379	H	Quinolinate synthase
COG0380	COG0380	G	Trehalose-6-phosphate synthase
COG0381	COG0381	M	UDP-N-acetylglucosamine 2-epimerase
COG0382	COG0382	H	4-hydroxybenzoate polyprenyltransferase
COG0383	COG0383	G	Alpha-mannosidase
COG0384	COG0384	R	Predicted epimerase YddE/YHI9, PhzF superfamily
COG0385	COG0385	R	Predicted Na+-dependent transporter
COG0386	COG0386	V	Glutathione peroxidase, house-cleaning role in reducing lipid peroxides
COG0387	COG0387	P	Ca2+/H+ antiporter
COG0388	COG0388	R	Predicted amidohydrolase
COG0389	COG0389	L	Nucleotidyltransferase/DNA polymerase involved in DNA repair
COG0390	COG0390	P	ABC-type iron transport system FetAB, permease component
COG0391	COG0391	H	Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family
COG0392	COG0392	S	Uncharacterized membrane protein YbhN, UPF0104 family
COG0393	COG0393	S	Uncharacterized conserved protein YbjQ, UPF0145 family
COG0394	COG0394	T	Protein-tyrosine-phosphatase
COG0395	COG0395	G	ABC-type glycerol-3-phosphate transport system, permease component
COG0396	COG0396	O	Fe-S cluster assembly ATPase SufC
COG0397	COG0397	S	Uncharacterized conserved protein YdiU, UPF0061 family
COG0398	COG0398	S	Uncharacterized membrane protein YdjX, TVP38/TMEM64 family, SNARE-associated domain
COG0399	COG0399	M	dTDP-4-amino-4,6-dideoxygalactose transaminase
COG0400	COG0400	R	Predicted esterase
COG0401	COG0401	S	Uncharacterized membrane protein YqaE, homolog of Blt101, UPF0057 family
COG0402	COG0402	F	Cytosine/adenosine deaminase or related metal-dependent hydrolase
COG0403	COG0403	E	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain
COG0404	COG0404	E	Glycine cleavage system T protein (aminomethyltransferase)
COG0405	COG0405	E	Gamma-glutamyltranspeptidase
COG0406	COG0406	G	Broad specificity phosphatase PhoE
COG0407	COG0407	H	Uroporphyrinogen-III decarboxylase
COG0408	COG0408	H	Coproporphyrinogen III oxidase
COG0409	COG0409	O	Hydrogenase maturation factor
COG0410	COG0410	E	ABC-type branched-chain amino acid transport system, ATPase component
COG0411	COG0411	E	ABC-type branched-chain amino acid transport system, ATPase component
COG0412	COG0412	Q	Dienelactone hydrolase
COG0413	COG0413	H	Ketopantoate hydroxymethyltransferase
COG0414	COG0414	H	Panthothenate synthetase
COG0415	COG0415	L	Deoxyribodipyrimidine photolyase
COG0416	COG0416	I	Fatty acid/phospholipid biosynthesis enzyme
COG0417	COG0417	L	DNA polymerase elongation subunit (family B)
COG0418	COG0418	F	Dihydroorotase
COG0419	COG0419	L	DNA repair exonuclease SbcCD ATPase subunit
COG0420	COG0420	L	DNA repair exonuclease SbcCD nuclease subunit
COG0421	COG0421	E	Spermidine synthase
COG0422	COG0422	H	Thiamine biosynthesis protein ThiC
COG0423	COG0423	J	Glycyl-tRNA synthetase (class II)
COG0424	COG0424	Q	Predicted house-cleaning NTP pyrophosphatase, Maf/HAM1 superfamily
COG0425	COG0425	O	TusA-related sulfurtransferase
COG0426	COG0426	C	Flavorubredoxin
COG0427	COG0427	C	Acyl-CoA hydrolase
COG0428	COG0428	P	Zinc transporter ZupT
COG0429	COG0429	R	Predicted hydrolase of the alpha/beta-hydrolase fold
COG0431	COG0431	C	NAD(P)H-dependent FMN reductase
COG0432	COG0432	H	Thiamin phosphate synthase YjbQ, UPF0047 family
COG0433	COG0433	L	Archaeal DNA helicase HerA or a related bacterial ATPase, contains HAS-barrel and ATPase domains
COG0435	COG0435	C	Glutathionyl-hydroquinone reductase
COG0436	COG0436	E	Aspartate/methionine/tyrosine aminotransferase
COG0437	COG0437	C	Fe-S-cluster-containing dehydrogenase component
COG0438	COG0438	M	Glycosyltransferase involved in cell wall bisynthesis
COG0439	COG0439	I	Biotin carboxylase
COG0440	COG0440	E	Acetolactate synthase, small subunit
COG0441	COG0441	J	Threonyl-tRNA synthetase
COG0442	COG0442	J	Prolyl-tRNA synthetase
COG0443	COG0443	O	Molecular chaperone DnaK (HSP70)
COG0444	COG0444	E	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
